product_name,product_type,price,날짜,별점,스킨타입,태그,리뷰내용
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.25,5점,,한달이상사용,"인기 스킨케어 제품이라고 들었는데
한번 써보려고 구매했는데 효과 진짜 좋아요!
꾸준히 사용하는 제품이에요!"
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.25,5점,,,"흡수력이 좋아 피부에 빠르게 스며들고, 며칠 사용하니 전체적인 피부결이 매끄러워졌어요. 부담 없이 데일리 스킨케어로 추천하고 싶습니다."
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.25,5점,,재구매,"벌써 4~5병째 사용 중이에요! 몇 년 동안 잡티 때문에 정말 많은 제품을 써봤는데 눈에 띄는 변화가 없었어요. 그런데 이 제품은 진짜 너무 좋아요. 예전 햇빛 손상과 필링 후 생긴 자국들이 있었는데, 잡티가 정말 많이 옅어졌어요. 사진도 같이 올릴게요. 진짜 추천합니다!
-This is already my 4th–5th bottle! I’ve been looking for a solution for my dark spots for years and never saw real results, but this product is truly amazing. I have old sun damage and chemical peeling marks, and my spots have faded so much. I’ll be adding my photos too. Highly recommend!"
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.25,5점,,,"가볍고 산뜻한 제형이라 부담 없이 사용하기 좋아요. 흡수도 빠르고 끈적임이 거의 없어서 아침에도 쓰기 괜찮았어요. 꾸준히 쓰면 피부톤이 조금 정돈되는 느낌이 있고, 자극 없이 순하게 사용할 수 있었어요.
데일리 미백·톤 정돈용으로 무난한 세럼이에요.
흔적 케어에도 도움이 되는 듯 해요!!!"
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.25,5점,,,흔적의 효과가 있는지는 잘 모르겠고 꾸준히 써야 효과를 볼 것 같아요
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.24,5점,,재구매,요즘 피부가 칙칙해서 구매했어요 잘 사용해보겠습니다 ! ㅎㅎ
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.24,5점,,한달이상사용,한 달 동안 사용하면서 흐름이 일정하게 유지돼 매일 부담 없이 사용할 수 있었습니다. 과하지 않게 정리되는 느낌 덕분에 여러 환경에서 자연스럽게 어울렸습니다. 반복 사용에도 안정적인 경험을 이어갈 수 있었습니다.
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.24,5점,,"한달이상사용, 재구매",지속적으로 사용하다 보니 첫날보다 더 부드러운 흐름이 느껴졌습니다. 매일 사용해도 부담이 없어서 자연스럽게 손이 갔습니다. 전체적으로 조용하게 이어지는 느낌이 만족스러웠습니다.
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.23,4점,,,"Orginally I saw someone use this online so I felt curious. It is a nice product, I would recommend to friends - I have even bought a few for friends during christmas!

I felt well hydrated and I like that it was gentle on my sking. Definitely handy for winter!"
[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,세럼,"27,500",2026.01.23,4점,,,"수부지라서 그런지 모르겠지만 쓸때마다 느낌이 달라여
(끈적할때도 있고 아닐때도 있음)
그래서 화장하기 전에 발랐을때도 밀릴때도 있고 아닐때도 있어요ㅠ"
